[ssh] server advertises auth methods: ['publickey', 'gssapi-keyex', 'gssapi-with-mic', 'password']
[ssh] unavailable: ssh authentication rejected (password:AuthenticationException)
[fallback] trying FTP on port 21 ...
[ftp] login ok as 'vh20074' (cwd=/)
=== FTP recon (login cwd: /) ===
--- LIST / (5 entries) ---
drwxr-xr-x    5 20074      apache           4096 Sep 14 03:45 .
drwxr-xr-x    5 20074      apache           4096 Sep 14 03:45 ..
drwxr-x---    2 20074      apache           4096 Sep 14 03:19 MyFiles
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 blazepanel.mywp.info
drwxr-xr-x    2 20074      apache        1916928 Sep 23 11:06 tmp
--- LIST / (5 entries) ---
drwxr-xr-x    5 20074      apache           4096 Sep 14 03:45 .
drwxr-xr-x    5 20074      apache           4096 Sep 14 03:45 ..
drwxr-x---    2 20074      apache           4096 Sep 14 03:19 MyFiles
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 blazepanel.mywp.info
drwxr-xr-x    2 20074      apache        1916928 Sep 23 11:06 tmp
--- LIST /home (0 entries) ---

--- LIST /home/vh20074 (0 entries) ---

--- LIST /var/www (0 entries) ---

--- LIST /blazepanel.mywp.info (43 entries) ---
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 .
drwxr-xr-x    5 20074      apache           4096 Sep 14 03:45 ..
-rw-r--r--    1 20074      apache            152 Sep 14 06:00 .htaccess
-rw-r--r--    1 20074      apache            106 Sep 14 05:55 .htaccess.before-404-20260914-095859
-rw-r--r--    1 20074      apache            133 Sep 14 05:58 .htaccess.before-pathinfo-20260914-100008
-rw-r--r--    1 20074      apache            144 Sep 14 04:14 .htaccess.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache           1184 Sep 14 05:58 404.php
-rw-r--r--    1 20074      apache             36 Sep 14 05:55 accounts.php
-rw-r--r--    1 20074      apache           1019 Sep 14 04:11 accounts.php.pre-php-live-20260914-095507
drwxr-xr-x    3 20074      apache           4096 Sep 14 08:18 api
-rw-r-----    1 20074      apache           3485 Sep 14 07:42 apikey-docs.php
drwxr-xr-x    2 20074      apache           4096 Sep 14 03:59 assets
-rw-r--r--    1 20074      apache           1338 Sep 14 05:55 auth.css
-rw-r--r--    1 20074      apache           2143 Sep 14 04:11 bootstrap.php
-rw-r--r--    1 20074      apache           3493 Sep 14 05:55 config.php
-rw-r--r--    1 20074      apache            344 Sep 14 04:12 config.php.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache             36 Sep 14 05:55 dashboard.php
-rw-r--r--    1 20074      apache             36 Sep 14 05:55 device.php
-rw-r-----    1 20074      apache           6788 Sep 14 07:19 greensms-docs.php
-rw-r--r--    1 20074      apache         839839 Sep 14 03:45 index.html.backup-20260914-074614
-rw-r--r--    1 20074      apache         839829 Sep 14 03:46 index.html.backup-20260914-074724
-rw-r--r--    1 20074      apache         839799 Sep 14 03:47 index.html.backup-20260914-074923
-rw-r--r--    1 20074      apache         839799 Sep 14 03:49 index.html.backup-20260914-074935
-rw-r--r--    1 20074      apache         905361 Sep 14 03:51 index.html.backup-20260914-075155
-rw-r--r--    1 20074      apache         905481 Sep 14 03:49 index.html.broken-backup-20260914-075108
-rw-r--r--    1 20074      apache         839839 Sep 14 04:14 index.html.original-upload-20260914-081731
-rw-r--r--    1 20074      apache         915796 Sep 14 03:51 index.html.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache         928603 Sep 14 05:55 index.php
-rw-r--r--    1 20074      apache            994 Sep 14 04:11 index.php.redesign-backup-20260914-081456
-rw-r--r--    1 20074      apache            977 Sep 14 04:11 layout.php
-rw-r--r--    1 20074      apache           2741 Sep 14 05:55 login.php
-rw-r--r--    1 20074      apache           1268 Sep 14 04:11 login.php.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache            275 Sep 14 05:55 logout.php
-rw-r--r--    1 20074      apache             96 Sep 14 04:11 logout.php.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache             36 Sep 14 05:55 new-account.php
-rw-r--r--    1 20074      apache           1019 Sep 14 04:11 new-account.php.pre-php-live-20260914-095507
-rw-r--r--    1 20074      apache            933 Sep 14 04:11 settings.php
-rw-r--r--    1 20074      apache             43 Sep 14 05:55 signup.php
drwxr-xr-x    2 20074      apache           4096 Sep 14 05:55 test
-rw-r--r--    1 20074      apache           1695 Sep 14 05:55 verify.php
drwxr-x---    9 20074      apache           4096 Sep 30  2025 wp-admin
drwxr-x---    4 20074      apache           4096 Sep 14 03:34 wp-content
drwxr-x---   30 20074      apache          16384 Sep 30  2025 wp-includes
--- LIST /blazepanel.mywp.info/api (11 entries) ---
drwxr-xr-x    3 20074      apache           4096 Sep 14 08:18 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
-rw-r--r--    1 20074      apache           1332 Sep 14 05:55 accounts.php
-rw-r-----    1 20074      apache            313 Sep 14 07:12 config.php
drwxr-x---    5 20074      apache           4096 Sep 14 08:59 greensms
-rw-r-----    1 20074      apache            804 Sep 14 07:48 greensms.php
-rw-r-----    1 20074      apache          12450 Sep 14 10:07 greensms_apikey.php
-rw-------    1 20074      apache            617 Sep 14 07:33 greensms_clients.json
-rw-r-----    1 20074      apache          13598 Sep 14 07:18 greensms_clients.php
-rw-r-----    1 20074      apache          14465 Sep 14 07:18 greensms_dashboard.php
-rw-r-----    1 20074      apache           1162 Sep 14 07:48 greensms_multi.php
--- LIST /blazepanel.mywp.info/assets (5 entries) ---
drwxr-xr-x    2 20074      apache           4096 Sep 14 03:59 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
-rw-r--r--    1 20074      apache           7767 Sep 14 05:55 favicon.png
-rw-r--r--    1 20074      apache          49139 Sep 14 05:55 logo.png
-rw-r--r--    1 20074      apache           2008 Sep 14 04:11 style.css
--- LIST /blazepanel.mywp.info/test (2 entries) ---
drwxr-xr-x    2 20074      apache           4096 Sep 14 05:55 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
--- LIST /blazepanel.mywp.info/wp-admin (102 entries) ---
drwxr-x---    9 20074      apache           4096 Sep 30  2025 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
-rwxr-x---    1 20074      apache          20107 Sep 30  2025 about.php
-rwxr-x---    1 20074      apache           5146 Jul  4  2024 admin-ajax.php
-rwxr-x---    1 20074      apache           2834 Sep 26  2024 admin-footer.php
-rwxr-x---    1 20074      apache            479 Jan 22  2025 admin-functions.php
-rwxr-x---    1 20074      apache           9336 Jan 24  2025 admin-header.php
-rwxr-x---    1 20074      apache           2021 Jan 16  2025 admin-post.php
-rwxr-x---    1 20074      apache          12597 Jan 16  2025 admin.php
-rwxr-x---    1 20074      apache           4983 Mar 16  2025 async-upload.php
-rwxr-x---    1 20074      apache          10335 Sep 14  2023 authorize-application.php
-rwxr-x---    1 20074      apache          11622 May  1  2024 comment.php
-rwxr-x---    1 20074      apache           5727 Feb 27  2024 contribute.php
-rwxr-x---    1 20074      apache           4212 Dec 22  2024 credits.php
drwxr-x---    3 20074      apache           4096 Jul  5  2025 css
-rwxr-x---    1 20074      apache            489 Jan 22  2025 custom-background.php
-rwxr-x---    1 20074      apache            499 Jan 22  2025 custom-header.php
-rwxr-x---    1 20074      apache          11174 Mar  6  2025 customize.php
-rwxr-x---    1 20074      apache          14726 Sep 17  2023 edit-comments.php
-rwxr-x---    1 20074      apache          29527 Mar 18  2025 edit-form-advanced.php
-rwxr-x---    1 20074      apache          14713 Mar 10  2025 edit-form-blocks.php
-rwxr-x---    1 20074      apache           8543 Nov 11  2024 edit-form-comment.php
-rwxr-x---    1 20074      apache           6354 Feb  8  2025 edit-link-form.php
-rwxr-x---    1 20074      apache          10688 Dec  6  2024 edit-tag-form.php
-rwxr-x---    1 20074      apache          22533 Jan 29  2025 edit-tags.php
-rwxr-x---    1 20074      apache          19952 Oct  3  2024 edit.php
-rwxr-x---    1 20074      apache           7505 Apr 17  2024 erase-personal-data.php
-rwxr-x---    1 20074      apache           7941 Apr 17  2024 export-personal-data.php
-rwxr-x---    1 20074      apache          11288 May 26  2024 export.php
-rwxr-x---    1 20074      apache           4645 Jan 20  2025 freedoms.php
drwxr-x---    2 20074      apache           4096 Mar 25  2025 images
-rwxr-x---    1 20074      apache           7766 Feb 25  2025 import.php
drwxr-x---    2 20074      apache           4096 Jul  7  2025 includes
-rwxr-x---    1 20074      apache           7864 Sep 14  2023 index.php
-rwxr-x---    1 20074      apache           6961 Nov 20  2022 install-helper.php
-rwxr-x---    1 20074      apache          18374 Feb 11  2025 install.php
drwxr-x---    3 20074      apache           4096 Sep 30  2025 js
-rwxr-x---    1 20074      apache            934 Feb  8  2025 link-add.php
-rwxr-x---    1 20074      apache           4361 Feb  8  2025 link-manager.php
-rwxr-x---    1 20074      apache           2697 Jun 13  2024 link-parse-opml.php
-rwxr-x---    1 20074      apache           2957 May  1  2024 link.php
-rwxr-x---    1 20074      apache           2070 Aug 25  2024 load-scripts.php
-rwxr-x---    1 20074      apache           2995 Nov  4  2024 load-styles.php
drwxr-x---    2 20074      apache           4096 Sep 17  2024 maint
-rwxr-x---    1 20074      apache           3261 Feb 23  2023 media-new.php
-rwxr-x---    1 20074      apache           3668 Feb  8  2025 media-upload.php
-rwxr-x---    1 20074      apache            819 May  1  2024 media.php
-rwxr-x---    1 20074      apache          10059 Feb 20  2025 menu-header.php
-rwxr-x---    1 20074      apache          17374 Mar  3  2025 menu.php
-rwxr-x---    1 20074      apache            307 Feb  6  2020 moderation.php
-rwxr-x---    1 20074      apache            196 Feb  6  2020 ms-admin.php
-rwxr-x---    1 20074      apache           4294 Sep  3  2024 ms-delete-site.php
-rwxr-x---    1 20074      apache            216 Feb  6  2020 ms-edit.php
-rwxr-x---    1 20074      apache            229 Jun 22  2024 ms-options.php
-rwxr-x---    1 20074      apache            215 Feb  6  2020 ms-sites.php
-rwxr-x---    1 20074      apache            217 Feb  6  2020 ms-themes.php
-rwxr-x---    1 20074      apache            219 Feb  6  2020 ms-upgrade-network.php
-rwxr-x---    1 20074      apache            215 Feb  6  2020 ms-users.php
-rwxr-x---    1 20074      apache           4858 Sep  5  2023 my-sites.php
-rwxr-x---    1 20074      apache          49417 Mar 18  2025 nav-menus.php
--- LIST /blazepanel.mywp.info/wp-content (5 entries) ---
drwxr-x---    4 20074      apache           4096 Sep 14 03:34 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
-rwxr-x---    1 20074      apache             28 Jan  8  2012 index.php
drwxr-x---    3 20074      apache           4096 Jul 15  2025 plugins
drwxr-x---    5 20074      apache           4096 Jul 14  2025 themes
--- LIST /blazepanel.mywp.info/wp-includes (274 entries) ---
drwxr-x---   30 20074      apache          16384 Sep 30  2025 .
drwxr-x---    8 20074      apache           4096 Sep 14 07:42 ..
drwxr-x---    2 20074      apache           4096 Oct 20  2023 ID3
drwxr-x---    2 20074      apache           4096 Sep 18  2024 IXR
drwxr-x---    2 20074      apache           4096 Dec  3  2024 PHPMailer
drwxr-x---    4 20074      apache           4096 Mar 25  2024 Requests
drwxr-x---    4 20074      apache           4096 Sep 30  2024 SimplePie
drwxr-x---    3 20074      apache           4096 Sep 27  2024 Text
-rwxr-x---    1 20074      apache          37106 Apr 28  2025 admin-bar.php
drwxr-x---    2 20074      apache           4096 Jul  8  2025 assets
-rwxr-x---    1 20074      apache          12078 Sep 18  2024 atomlib.php
-rwxr-x---    1 20074      apache          18951 May 14  2023 author-template.php
drwxr-x---    2 20074      apache           4096 Mar  4  2024 block-bindings
